SUBDIVISION,YEAR,ANNUAL,LATITUDE,LONGITUDE
Andaman & Nicobar Islands,2016,2851.9,12.472918209000056,92.78097500000007
Arunachal Pradesh,2016,2706.9,28.033781599000065,94.66035845800008
Assam & Meghalaya,2016,2266.9,26.794390000000078,94.30598000000003
Naga Mani Mizo Tripura,2016,1956.4,23.746521948000066,91.74011045000003
Sub Himalayan West Bengal & Sikkim,2016,2624.8,22.40297000000004,87.99451000000005
Gangetic West Bengal,2016,1427.0,23.797752657000046,87.98641614500008
Orissa,2016,1253.5,22.62313000000006,73.11254000000008
Jharkhand,2016,1264.0,23.653964511000027,85.55996037700004
Bihar,2016,1158.0,25.200840000000028,85.52389000000005
East Uttar Pradesh,2016,871.7,26.848760000000027,80.94500000000005
West Uttar Pradesh,2016,692.8,26.47404000000006,80.35232000000008
Uttarakhand,2016,1308.6,30.154800644000034,79.20770033300005
Haryana Delhi & Chandigarh,2016,398.7,29.633589992129046,76.9792199772686
Punjab,2016,444.0,30.843233053000063,75.41766745300004
Himachal Pradesh,2016,921.5,31.923648951000075,77.25005022300007
Jammu & Kashmir,2016,902.8,33.654266448000044,74.84332027700003
West Rajasthan,2016,347.0,26.85504000000003,75.80662000000007
East Rajasthan,2016,860.6,28.661010000000033,77.28127000000006
West Madhya Pradesh,2016,1098.0,23.233190000000036,77.40417000000008
East Madhya Pradesh,2016,1340.0,23.542138000000023,78.29519911300008
Gujarat Region,2016,764.9,37.243310000000065,-86.46602999999999
Saurashtra & Kutch,2016,482.9,23.06340000000006,70.13034000000005
Konkan & Goa,2016,3663.9,15.499130000000036,73.82570000000004
Madhya Maharashtra,2016,906.3,16.293250000000057,74.27697000000006
Matathwada,2016,949.0,19.28911000000005,76.95374000000004
Chhattisgarh,2016,1315.8,21.265165341000056,82.04163075400004
Coastal Andhra Pradesh,2016,908.9,17.68566000000004,83.20355000000006
Telangana,2016,1043.4,17.802515688000028,79.01075985000006
Rayalseema,2016,555.4,14.68115000000006,77.54549000000003
Tamil Nadu,2016,535.0,11.013651851000077,78.40849101900005
Coastal Karnataka,2016,2619.7,13.024180000000058,77.54843000000005
North Interior Karnataka,2016,625.0,13.01845000000003,77.65653000000003
South Interior Karnataka,2016,687.3,12.989640000000065,77.50193000000007
Kerala,2016,1870.9,10.447311382000066,76.40889018000007
Lakshadweep,2016,1065.7,11.14411887500006,72.04802500000005
